round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
23,3.9704,0.1042,3.9313,0.1112,3.9552,0.1039
24,3.9429,0.1092,3.9264,0.1139,3.9397,0.1045
25,3.9389,0.1074,3.9095,0.1187,3.9264,0.1093
26,3.9236,0.1138,3.9046,0.1206,3.9219,0.1095
27,3.9126,0.1162,3.8772,0.1235,3.9046,0.1125
28,3.9272,0.1176,3.8938,0.1263,3.9119,0.1141
29,3.8959,0.1154,3.8699,0.1272,3.8790,0.1179
30,3.8873,0.1256,3.8597,0.1310,3.8667,0.1198
31,3.8845,0.1270,3.8567,0.1315,3.8676,0.1216
32,3.8527,0.1340,3.8427,0.1310,3.8508,0.1260
33,3.8547,0.1338,3.8349,0.1366,3.8327,0.1299
34,3.8485,0.1312,3.8351,0.1372,3.8335,0.1297
35,3.8397,0.1404,3.8114,0.1444,3.8138,0.1352
36,3.8439,0.1378,3.8238,0.1437,3.8052,0.1356
37,3.8377,0.1402,3.8288,0.1458,3.8082,0.1394
38,3.8089,0.1486,3.8040,0.1501,3.7866,0.1396
39,3.8121,0.1492,3.7955,0.1496,3.7718,0.1433
40,3.8111,0.1412,3.7978,0.1503,3.7690,0.1454
41,3.8010,0.1448,3.8063,0.1539,3.7686,0.1469
42,3.7991,0.1456,3.7861,0.1567,3.7521,0.1485
43,3.7941,0.1474,3.8053,0.1547,3.7454,0.1504
44,3.7891,0.1462,3.7969,0.1578,3.7458,0.1542
45,3.7751,0.1480,3.7944,0.1562,3.7389,0.1548
46,3.7943,0.1526,3.7840,0.1632,3.7454,0.1588
47,3.7993,0.1468,3.7801,0.1647,3.7297,0.1598
48,3.7840,0.1544,3.8011,0.1668,3.7324,0.1605
49,3.7998,0.1532,3.8032,0.1624,3.7410,0.1603
50,3.8059,0.1510,3.8004,0.1668,3.7297,0.1642
1,4.6042,0.0150,4.6045,0.0131,4.6044,0.0135
2,4.6023,0.0150,4.6023,0.0128,4.6025,0.0135
3,4.5991,0.0166,4.5992,0.0126,4.5997,0.0142
4,4.5949,0.0152,4.5948,0.0133,4.5958,0.0136
1,4.6021,0.0106,4.6026,0.0111,4.6028,0.0115
2,4.5983,0.0168,4.5985,0.0162,4.5991,0.0171
3,4.5918,0.0230,4.5921,0.0221,4.5934,0.0224
